label,x_pos_mean,x_pos_stdev,y_pos_mean,y_pos_std_dev,mouse_event_counts,left_mouse_held_time,middle_mouse_held_time,right_mouse_held_time,left_mouseup_counts,middle_mouseup_counts,right_mouseup_counts,total_key_up_counts,keyup_keys_in_q1,total_key_time_held,key_held_keys_in_q1,alnum_keys_in_q1,movement_key_ratio
active,0.5504437351863822,0.2158496395834238,0.22576551988316693,0.1883285401064107,1547,0.023160258928934734,0.0,0.0038166165351867674,15,0,3,82,4,9.476855516433716,2,2,0.4533114773134777
active,0.2152066256830601,0.1828595107652264,0.35860655737704916,0.22208948197658865,610,0.009110963344573975,0.0,0.0,7,0,0,78,3,60.67678689956665,1,1,0.22247482046969325
active,0.43619791666666663,0.02954897322372452,0.29282407407407407,0.021684020827772207,40,0.0014638662338256835,0.0,0.0,1,0,0,355,2,40.15134859085083,3,3,0.5078894996922027
active,-1.0,0.0,-1.0,0.0,1,0.0,0.0,0.0,0,0,0,279,3,124.06370306015015,1,1,0.17671304142696959
active,0.4116160696952048,0.2508262583629363,0.2932008887163226,0.25301699555005147,1717,0.03010616699854533,0.0,0.001951734224955241,13,0,2,36,1,3.3025219440460205,2,2,0.2894900708532562
active,0.4894619446467589,0.17037931123908862,0.40907987375576593,0.31854301533683077,1373,0.03282455603281657,0.0,0.0011341174443562825,15,0,1,33,2,5.290938854217529,1,1,0.1463282874887546
active,0.38681501297016857,0.1278926190897632,0.39948119325551235,0.15825989363478676,1285,0.0083762526512146,0.0,0.0022482832272847494,6,0,1,64,3,323.6503620147705,1,2,0.008939582451670907
active,0.3328470515970516,0.12757457424221108,0.3686641186641187,0.16093964902445684,407,0.006317071119944255,0.0019930164019266766,0.0,4,1,0,119,4,12.179359674453735,4,2,0.4521537435986361
active,0.21595622833085684,0.07494088047931666,0.5053381762148479,0.024218706624039302,673,0.05411842664082845,0.0,0.0,10,0,0,115,2,760.3123230934143,1,2,0.00848545407612466
active,0.37590090090090095,0.13858286620735422,0.5434934934934934,0.25815854629319057,925,0.0057265837987264,0.003914050261179606,0.0,4,2,0,165,3,17.467798233032227,3,3,0.342315809777558
active,0.466896186440678,0.23615262016534766,0.45386064030131834,0.21506323208686412,885,0.015204668045043945,0.0,0.0014664173126220704,11,0,1,136,3,57.798893451690674,1,2,0.1355785570472309
active,0.29044043284789645,0.13489024682965242,0.45820598106196814,0.18076859916380417,1236,0.06995185613632202,0.0,0.0,14,0,0,104,4,16.008132934570312,2,2,0.8081996685329652
active,0.47007263784031106,0.03496082775412135,0.6648936170212767,1.1102230246251565e-16,124,0.0,0.0,0.0,0,0,0,258,3,21.43879795074463,3,3,0.38838474717280974
active,0.37677304964539005,0.0,0.7134819967266774,0.016573088938236127,26,0.0,0.0,0.0,0,0,0,104,2,6.343611240386963,3,2,0.43995152218110783
